2025-25-37 19:37:03.398 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-25-37 19:37:03.399 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-25-37 19:37:03.402 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2025-25-37 19:37:03.715 INFO  [http-nio-8080-exec-10] o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 101 ms
2025-25-37 19:37:30.495 INFO  [RMI TCP Connection(31)-127.0.0.1] o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2025-25-37 19:37:30.497 INFO  [RMI TCP Connection(31)-127.0.0.1] o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2025-25-37 19:37:30.627 INFO  [RMI TCP Connection(31)-127.0.0.1] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-25-37 19:37:30.629 INFO  [RMI TCP Connection(31)-127.0.0.1] com.zaxxer.hikari.HikariDataSource - HikariPool-13 - Shutdown initiated...
2025-25-37 19:37:30.638 INFO  [RMI TCP Connection(31)-127.0.0.1] com.zaxxer.hikari.HikariDataSource - HikariPool-13 - Shutdown completed.
2025-25-37 19:37:34.674 INFO  [restartedMain] c.b.EnotesApiServiceApplication - Starting EnotesApiServiceApplication using Java 17.0.7 with PID 17756 (D:\Youtube\Projects\enotes-api-service\enotes-api-service\target\classes started by Pabitra in D:\Youtube\Projects\enotes-api-service\enotes-api-service)
2025-25-37 19:37:34.677 INFO  [restartedMain] c.b.EnotesApiServiceApplication - The following 1 profile is active: "dev"
2025-25-37 19:37:34.726 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-25-37 19:37:34.726 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-25-37 19:37:35.545 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-25-37 19:37:35.633 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82 ms. Found 7 JPA repository interfaces.
2025-25-37 19:37:36.285 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-25-37 19:37:36.294 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
